country,mot_cle,score
Panama,Netflix,49
Papouasie-Nouvelle-Guinée,Netflix,43
Paraguay,Netflix,49
Pays-Bas,Netflix,51
Pays-Bas caribéens,Netflix,71
Philippines,Netflix,56
Pologne,Netflix,56
Polynésie française,Netflix,64
Porto Rico,Netflix,63
Portugal,Netflix,61
Pérou,Netflix,67
Qatar,Netflix,36
Roumanie,Netflix,68
Royaume-Uni,Netflix,59
Russie,Netflix,2
Rwanda,Netflix,37
République centrafricaine,Netflix,11
République dominicaine,Netflix,63
Sahara occidental,Netflix,30
Saint-Barthélemy,Netflix,70
Saint-Christophe-et-Niévès,Netflix,64
Saint-Marin,Netflix,49
Saint-Martin,Netflix,90
Saint-Martin (partie néerlandaise),Netflix,78
Saint-Pierre-et-Miquelon,Netflix,98
Saint-Vincent-et-les Grenadines,Netflix,59
Sainte-Hélène,Netflix,19
Sainte-Lucie,Netflix,70
Salvador,Netflix,56
Samoa,Netflix,52
Samoa américaines,Netflix,99
Sao Tomé-et-Principe,Netflix,64
Serbie,Netflix,41
Seychelles,Netflix,74
Sierra Leone,Netflix,29
Singapour,Netflix,52
Slovaquie,Netflix,43
Slovénie,Netflix,40
Somalie,Netflix,27
Soudan,Netflix,5
Soudan du Sud,Netflix,25
Sri Lanka,Netflix,30
Suisse,Netflix,54
Suriname,Netflix,43
Suède,Netflix,48
Svalbard et Jan Mayen,Netflix,38
Syrie,Netflix,3
Sénégal,Netflix,44
Tadjikistan,Netflix,3
Tanzanie,Netflix,25
Taïwan,Netflix,54
Tchad,Netflix,10
Tchéquie,Netflix,48
Terres australes françaises,Netflix,0
Territoire britannique de l’océan Indien,Netflix,0
Thaïlande,Netflix,51
Timor oriental,Netflix,16
Togo,Netflix,40
Tokelau,Netflix,0
Tonga,Netflix,55
Trinité-et-Tobago,Netflix,63
Tunisie,Netflix,30
Turkménistan,Netflix,4
Turquie,Netflix,43
Tuvalu,Netflix,100
Ukraine,Netflix,6
Uruguay,Netflix,76
Vanuatu,Netflix,49
Venezuela,Netflix,42
Viêt Nam,Netflix,14
Wallis-et-Futuna,Netflix,0
